"Population and Actual and Percentage Change 2011 to 2016 by Electoral Division, CensusYear and Statistic ",,,,,,,
,,,,,,,
,,,,,,,
 , ,Population - 2011 (Number),Population - 2016 (Number),Males - 2016 (Number),Females - 2016 (Number),Actual change 2011-2016 (Number),Percentage change 2011-2016 (%)
2016,,,,,,,
 ,"025 Raheen, Co. Laois",422,467,238,229,45,10.7
 ,"026 Rathdowney, Co. Laois",1161,1207,611,596,46,4
 ,"027 Timahoe, Co. Laois",569,589,304,285,20,3.5
 ,"Athy No. 2 rural area, Co. Laois",6415,6713,3356,3357,298,4.6
 ,"028 Ballyadams, Co. Laois",412,426,211,215,14,3.4
 ,"029 Ballylynan, Co. Laois",1456,1457,746,711,1,0.1
 ,"030 Barrowhouse, Co. Laois",449,485,242,243,36,8
 ,"031 Curraclone, Co. Laois",229,266,145,121,37,16.2
 ,"032 Killabban, Co. Laois",420,434,233,201,14,3.3
 ,"033 Luggacurren, Co. Laois",324,300,151,149,-24,-7.4
 ,"034 Moyanna, Co. Laois",347,380,180,200,33,9.5
 ,"035 Rathaspick, Co. Laois",256,239,119,120,-17,-6.6
 ,"036 Stradbally, Co. Laois",1626,1807,868,939,181,11.1
 ,"037 Tankardstown, Co. Laois",347,368,183,185,21,6.1
 ,"038 Timogue, Co. Laois",343,357,184,173,14,4.1
 ,"039 Vicarstown, Co. Laois",206,194,94,100,-12,-5.8
 ,"Mountmellick rural area, Co. Laois",48295,51562,26211,25351,3267,6.8
 ,"040 Arderin, Co. Laois",232,280,146,134,48,20.7
 ,"041 Ballybrittas, Co. Laois",1205,1279,649,630,74,6.1
 ,"042 Ballycarroll, Co. Laois",300,341,177,164,41,13.7
 ,"043 Ballyfin, Co. Laois",633,659,328,331,26,4.1
 ,"044 Borris, Co. Laois",1533,1683,888,795,150,9.8
 ,"045 Brisha, Co. Laois",258,274,131,143,16,6.2
 ,"046 Capard, Co. Laois",53,48,29,19,-5,-9.4
 ,"047 Cappalough, Co. Laois",343,348,181,167,5,1.5
 ,"048 Cardtown, Co. Laois",176,171,90,81,-5,-2.8
 ,"049 Castlecuffe, Co. Laois",393,399,202,197,6,1.5
 ,"050 Clonaslee, Co. Laois",895,940,490,450,45,5
 ,"051 Clondarrig, Co. Laois",1503,1867,910,957,364,24.2
 ,"052 Clonin, Co. Laois",233,227,110,117,-6,-2.6
 ,"053 Coolrain, Co. Laois",308,302,155,147,-6,-1.9
 ,"054 Dangans, Co. Laois",1553,1659,816,843,106,6.8
 ,"055 Emo, Co. Laois",1269,1243,639,604,-26,-2
 ,"056 Garrymore, Co. Laois",250,227,110,117,-23,-9.2
 ,"057 Graigue, Co. Laois",182,183,96,87,1,0.5
 ,"058 Jamestown, Co. Laois",440,462,234,228,22,5
 ,"059 Kilcolmanbane, Co. Laois",661,659,339,320,-2,-0.3
 ,"060 Kilmullen, Co. Laois",556,563,289,274,7,1.3
 ,"061 Kilmurry, Co. Laois",256,267,136,131,11,4.3
 ,"062 Lacka, Co. Laois",261,256,133,123,-5,-1.9
 ,"063 Marymount, Co. Laois",137,139,75,64,2,1.5
 ,"064 Meelick, Co. Laois",379,418,202,216,39,10.3
 ,"065 Mountmellick Rural, Co. Laois",982,970,498,472,-12,-1.2
 ,"066 Mountmellick Urban, Co. Laois",2998,2981,1445,1536,-17,-0.6
 ,"067 Mountrath, Co. Laois",2260,2376,1181,1195,116,5.1
 ,"068 Nealstown, Co. Laois",90,92,51,41,2,2.2
 ,"069 O'More's Forest, Co. Laois",463,498,263,235,35,7.6
 ,"070 Portarlington South, Co. Laois",6547,7142,3550,3592,595,9.1
 ,"071 Portlaoighise (Maryborough) Rural, Co. Laois",14676,16058,8406,7652,1382,9.4
 ,"072 Portlaoighise (Maryborough) Urban, Co. Laois",3639,3951,1934,2017,312,8.6
 ,"073 Rearymore, Co. Laois",287,287,147,140,0,0
 ,"074 Rosenallis, Co. Laois",469,426,223,203,-43,-9.2
 ,"075 Sallyford, Co. Laois",577,565,280,285,-12,-2.1
 ,"076 Shaen, Co. Laois",894,927,472,455,33,3.7
 ,"077 Tinnahinch, Co. Laois",175,165,86,79,-10,-5.7
 ,"078 Trumra, Co. Laois",229,230,120,110,1,0.4
 ,"Roscrea No. 3 rural area, Co. Laois",2977,3040,1519,1521,63,2.1
 ,"079 Ballybrophy, Co. Laois",200,192,96,96,-8,-4
 ,"080 Borris-in-Ossory, Co. Laois",805,833,419,414,28,3.5
 ,"081 Clonmore, Co. Laois",208,211,115,96,3,1.4
 ,"082 Errill, Co. Laois",405,407,193,214,2,0.5
 ,"083 Kyle, Co. Laois",244,234,109,125,-10,-4.1
 ,"084 Kyle South, Co. Laois",281,287,139,148,6,2.1
 ,"085 Moneenalassa, Co. Laois",141,148,89,59,7,5
 ,"086 Moneymore, Co. Laois",134,136,70,66,2,1.5
 ,"087 Rathsaran, Co. Laois",559,592,289,303,33,5.9
 ,"Slievemargy rural area, Co. Laois",8483,8763,4313,4450,280,3.3
 ,"088 Ardough, Co. Laois",343,346,177,169,3,0.9
 ,"089 Arless, Co. Laois",421,418,200,218,-3,-0.7
 ,"090 Ballickmoyler, Co. Laois",615,650,326,324,35,5.7
 ,"091 Ballylehane, Co. Laois",174,166,84,82,-8,-4.6
 ,"092 Doonane, Co. Laois",751,770,391,379,19,2.5
 ,"093 Farnans, Co. Laois",179,186,105,81,7,3.9
 ,"094 Graigue Rural, Co. Laois",4543,4793,2295,2498,250,5.5
 ,"095 Newtown, Co. Laois",319,307,155,152,-12,-3.8
 ,"096 Rossmore, Co. Laois",460,463,238,225,3,0.7
 ,"097 Shrule, Co. Laois",308,304,158,146,-4,-1.3
 ,"098 Turra, Co. Laois",370,360,184,176,-10,-2.7
 ,Longford,39000,40810,20515,20295,1810,4.6
 ,"Longford Town, Co. Longford",8004,8710,4283,4427,706,8.8
 ,"001 Longford No. 1 Urban, Co. Longford",3163,3584,1763,1821,421,13.3
 ,"002 Longford No. 2 Urban, Co. Longford",943,1022,500,522,79,8.4
 ,"051 Longford Rural (Part Urban), Co. Longford",3898,4104,2020,2084,206,5.3
 ,"Ballymahon rural area, Co. Longford",7173,7570,3857,3713,397,5.5
 ,"003 Agharra, Co. Longford",456,443,217,226,-13,-2.9
 ,"004 Ballymahon, Co. Longford",2327,2661,1374,1287,334,14.4
 ,"005 Cashel East, Co. Longford",323,302,159,143,-21,-6.5
 ,"006 Cashel West, Co. Longford",572,588,308,280,16,2.8
 ,"007 Doory, Co. Longford",457,423,204,219,-34,-7.4
 ,"008 Forgney, Co. Longford",497,491,244,247,-6,-1.2
 ,"009 Foxhall, Co. Longford",525,528,272,256,3,0.6
 ,"010 Kilcommock, Co. Longford",953,1060,520,540,107,11.2
 ,"011 Kilglass, Co. Longford",707,706,364,342,-1,-0.1
 ,"012 Ledwithstown, Co. Longford",356,368,195,173,12,3.4
 ,"Granard No. 1 rural area, Co. Longford",9018,9344,4760,4584,326,3.6
 ,"013 Abbeylara, Co. Longford",340,300,157,143,-40,-11.8
 ,"014 Ballinalee, Co. Longford",598,632,283,349,34,5.7
 ,"015 Ballymuigh, Co. Longford",252,249,123,126,-3,-1.2
 ,"016 Bunlahy, Co. Longford",188,195,105,90,7,3.7
 ,"017 Columbkille, Co. Longford",597,586,314,272,-11,-1.8
 ,"018 Coolamber, Co. Longford",371,380,195,185,9,2.4
 ,"019 Creevy, Co. Longford",313,301,162,139,-12,-3.8
