CANDIDATES FOR LOCAL ELECTIONS 2004,,,,,,,,,,,,
Local Electoral Area,Last Name,Party,Full Name,Address ,Occupation,Passes,,,,,,
Rathmines,Tierney,Non-party,Eoin Tierney,Dublin 4,,,,,,,,
Rathmines,Williams,Progressive Democrats,Tony Williams,Dublin 6,Solicitor,,,,,,,
Rathmines,Wynne,Fine Gael,Edie Wynne,Dublin 6W,Financial Services,,,,,,,
South East Inner City,Barry,Fine Gael,John Barry,Dublin 2,Property Manager,,,,,,,
South East Inner City,Bunce,Fianna Fáil,Pat Bunce,Sandymount,Teacher,,,,,,,
South East Inner City,Delaney,Fine Gael,Conor Delaney,Dublin 4,Solicitor,,,,,,,
South East Inner City,Doolan,Sinn Féin,Daithí Doolan,Dublin 2,Community Worker,,,,,,,
South East Inner City,Humphreys,The Labour Party,Kevin Humphreys,Dublin 4,Production Technician,,,,,,,
South East Inner City,Ivory,Non-party,Noel Ivory,Dublin 2,,,,,,,,
South East Inner City,Keegan,Fianna Fáil,Garry Keegan,Dublin 8,Public Representative,,,,,,,
South East Inner City,Kenny,Progressive Democrats,"John Kenny
John Kenny",Dublin 6,Fund Accountant,,,,,,,
South East Inner City,Murphy,The Workers' Party,Angie Murphy,Dublin 4,Housewife,,,,,,,
South East Inner City,O'Shea,Green Party/Comhaontas Glas,Pauline O'Shea,Dublin 4,Lone Parent,,,,,,,
South East Inner City,Poole,Non-party,Linda Poole,Dublin 2,Student,,,,,,,
South East Inner City,Ryan,Socialist Workers' Party (S.W.P.),Shay Ryan,Dublin 4,Careworker,,,,,,,
South West Inner City,Brunkard,Fianna Fáil,Tom Brunkard,Dublin 8,Community Activist,,,,,,,
South West Inner City,Byrne,Fine Gael,Catherine Byrne,Dublin 8,Housewife/Public Representative,,,,,,,
South West Inner City,Donohoe,Socialist Workers' Party (S.W.P.),Brendan Donohoe,Dublin 8,Community Worker,,,,,,,
South West Inner City,Gallagher,The Labour Party,John Gallagher,Dublin 8,Public Representative,,,,,,,
South West Inner City,Gardiner,Green Party/Comhaontas Glas,Patricia Gardiner,Dublin 12,Facilities Manager,,,,,,,
South West Inner City,Mooney,Fianna Fáil,Mary Mooney,Dublin 8,City Councillor,,,,,,,
South West Inner City,Naessens,Socialist Party,Diarmuid Naessens,Dublin 8,Teacher,,,,,,,
South West Inner City,O'Connell,Sinn Féin,Andrew O'Connell,Dublin 8,Community Worker,,,,,,,
